Symbol,Company Name,Op. Income,FScore1,Current Ratio,FScore2,Industry,Debt / Equity,DE_Industry_group_avg,FScore3,DE_Market_avg,FScore4,EPS Growth 3Y,EPS Growth 5Y,FScore5,Financial_total_score
A,Agilent Technologies,1691000000.0,1,2.37,1,Diagnostics & Research,0.47,1.1347540983606557,1,2.0191649269311065,1,27.80%,44.59%,1,5
AA,Alcoa,-340000000.0,0,1.78,1,Aluminum,0.39,1.6325,1,2.0191649269311065,1,,,0,3
AAC,Ares Acquisition,-10839849.0,0,0.01,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0
AACG,ATA Creativity Global,-8611500.0,0,0.23,0,Education & Training Services,0.27,0.6446341463414634,1,2.0191649269311065,1,,,0,2
AACI,Armada Acquisition I,-3320541.0,0,0.03,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0
AACT,Ares Acquisition Corporation II,,0,,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0
AADI,Aadi Bioscience,-65693000.0,0,9.29,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3
AAIC,Arlington Asset Investment,34902000.0,1,,0,REIT - Mortgage,2.65,5.33775,1,2.0191649269311065,0,,,0,2
AAL,American Airlines Group,3767000000.0,1,0.72,0,Airlines,,3.4875,0,2.0191649269311065,0,,2.64%,0,1
AAMC,Altisource Asset Management,-11068000.0,0,,0,Asset Management,,1.8213684210526315,0,2.0191649269311065,0,,,0,0
AAME,Atlantic American,5758000.0,1,,0,Insurance - Life,0.35,0.6499999999999999,1,2.0191649269311065,1,,-1.47%,0,3
AAN,The Aaron's Company,-20052000.0,0,,0,Rental & Leasing Services,1.02,4.065714285714286,1,2.0191649269311065,1,,,0,2
AAOI,Applied Optoelectronics,-58925000.0,0,0.79,0,Semiconductors,0.9,0.497,0,2.0191649269311065,1,,,0,1
AAON,"AAON, Inc.",147957000.0,1,2.79,1,Building Products & Equipment,0.14,1.1490909090909092,1,2.0191649269311065,1,20.74%,19.57%,0,4
AAP,Advance Auto Parts,600881000.0,1,1.24,1,Specialty Retail,1.58,1.9822222222222223,1,2.0191649269311065,1,7.08%,-0.18%,0,4
AAPL,Apple,112304000000.0,1,0.94,0,Consumer Electronics,1.76,0.5646153846153846,0,2.0191649269311065,1,22.68%,17.86%,0,2
AAT,American Assets Trust,116108000.0,1,,0,REIT - Diversified,1.39,1.7460869565217394,1,2.0191649269311065,1,0.41%,12.75%,1,4
AAU,Almaden Minerals,-3545165.0,0,23.77,1,Gold,0.06,0.4391428571428571,1,2.0191649269311065,1,,,0,3
AB,AllianceBernstein Holding L.P.,287533000.0,1,,0,Asset Management,,1.8213684210526315,0,2.0191649269311065,0,-2.74%,0.76%,1,2
ABBV,AbbVie,16168000000.0,1,0.96,0,Drug Manufacturers - General,4.68,1.828125,0,2.0191649269311065,0,-9.07%,1.32%,1,2
ABC,AmerisourceBergen,2135478000.0,1,0.89,0,Medical Distribution,17.51,3.381428571428572,0,2.0191649269311065,0,0.87%,15.08%,1,2
ABCB,Ameris Bancorp,422246000.0,1,,0,Banks - Regional,0.78,0.965042492917847,1,2.0191649269311065,1,26.26%,17.43%,0,3
ABCL,AbCellera Biologics,-73313000.0,0,10.5,1,Biotechnology,0.06,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABCM,Abcam,-12168675.0,0,1.27,1,Biotechnology,0.31,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABEO,Abeona Therapeutics,-41912000.0,0,5.77,1,Biotechnology,0.39,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABEV,Ambev,3370718336.0,1,0.93,0,Beverages - Brewers,0.05,0.6514285714285715,1,2.0191649269311065,1,,,0,3
ABG,Asbury Automotive Group,1226400000.0,1,1.92,1,Auto & Truck Dealerships,1.17,3.888888888888889,1,2.0191649269311065,1,71.55%,43.68%,0,4
ABIO,ARCA biopharma,-9115000.0,0,32.94,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABM,ABM Industries,331800000.0,1,1.53,1,Specialty Business Services,0.85,1.0571875,1,2.0191649269311065,1,,17.02%,0,4
ABNB,Airbnb,1802131000.0,1,1.55,1,Travel Services,0.43,3.561,1,2.0191649269311065,1,,,0,4
ABOS,Acumen Pharmaceuticals,-49165000.0,0,16.41,1,Biotechnology,0.0,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABR,Arbor Realty Trust,375688000.0,1,,0,REIT - Mortgage,4.32,5.33775,1,2.0191649269311065,0,55.21%,6.76%,1,3
ABSI,Absci,-102432000.0,0,6.08,1,Biotechnology,0.08,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABST,Absolute Software,-2764000.0,0,0.65,0,Software - Application,,4.053584905660378,0,2.0191649269311065,0,,,0,0
ABT,Abbott Laboratories,6959000000.0,1,1.68,1,Medical Devices,0.45,0.79453125,1,2.0191649269311065,1,18.24%,66.13%,1,5
ABUS,Arbutus Biopharma,-69590000.0,0,6.08,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3
ABVC,ABVC BioPharma,-10801875.0,0,0.69,0,Biotechnology,3.12,0.9478119349005424,0,2.0191649269311065,0,,,0,0
AC,Associated Capital Group,-13089000.0,0,,0,Capital Markets,0.0,1.859811320754717,1,2.0191649269311065,1,,,0,2
ACA,Arcosa,366800000.0,1,2.4,1,Infrastructure Operations,0.25,2.62,1,2.0191649269311065,1,33.96%,,0,4
ACAB,Atlantic Coastal Acquisition Corp. II,-2094431.0,0,0.18,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0
ACAC,Acri Capital Acquisition,-910196.0,0,0.52,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0
