Symbol,Company Name,Stock Price,Price Target,PT Diff in %,Score,Valuation,Valuation1,PT Diff in % Absolute,Score1,BG_Value,Score2,PE Ratio,PE_Market_avg,Score3,Industry,PE_Industry_group_avg,Score4,Valuation_total_score,Symbol,Company Name,EPS Growth 5Y,EPS_Industry_group_avg,PScore1,EPS_Market_avg,PScore2,Industry,Rev. Growth 5Y,Rev_Industry_group_avg,PScore3,Rev_Market_avg,PScore4,ROE,PScore5,Performance_total_score,Symbol,Company Name,Op. Income,FScore1,Current Ratio,FScore2,Industry,Debt / Equity,DE_Industry_group_avg,FScore3,DE_Market_avg,FScore4,EPS Growth 3Y,EPS Growth 5Y,FScore5,Financial_total_score,Total_Score,Max_Score,Stock_Score_Ratio (%)
A,Agilent Technologies,121.13,148.07,22.24,1,Underpriced,Significantly,22.24,1,44.76213983293792,0,26.62,62.24668954248366,0,Diagnostics & Research,60.27,0,2,A,Agilent Technologies,44.59,22.932,1,13.162481789802287,1,Diagnostics & Research,8.32,19.669302325581395,0,13.650812124678296,0,24.8,1,3,A,Agilent Technologies,1691000000.0,1,2.37,1,Diagnostics & Research,0.47,1.1347540983606557,1,2.0191649269311065,1,27.80%,44.59%,1,5,10,15,66.67
AA,Alcoa,35.62,48.11,35.06,1,Underpriced,Significantly,35.06,1,,0,,62.24668954248366,0,Aluminum,15.29,0,2,AA,Alcoa,,,0,13.162481789802287,0,Aluminum,-0.43,8.875,0,13.650812124678296,0,-15.8,0,0,AA,Alcoa,-340000000.0,0,1.78,1,Aluminum,0.39,1.6325,1,2.0191649269311065,1,,,0,3,5,15,33.33
AAC,Ares Acquisition,10.5,,,0,,,,0,1.2384594708204415,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,AAC,Ares Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0,AAC,Ares Acquisition,-10839849.0,0,0.01,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
AACG,ATA Creativity Global,1.41,,,0,,,,0,,0,,62.24668954248366,0,Education & Training Services,47.4225,0,0,AACG,ATA Creativity Global,,15.502857142857142,0,13.162481789802287,0,Education & Training Services,107.92,8.417142857142856,1,13.650812124678296,1,-35.3,0,2,AACG,ATA Creativity Global,-8611500.0,0,0.23,0,Education & Training Services,0.27,0.6446341463414634,1,2.0191649269311065,1,,,0,2,4,15,26.67
AACI,Armada Acquisition I,10.2,,,0,,,,0,0.577533107333259,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,AACI,Armada Acquisition I,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0,AACI,Armada Acquisition I,-3320541.0,0,0.03,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
AACT,Ares Acquisition Corporation II,10.25,,,0,,,,0,,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0,AACT,Ares Acquisition Corporation II,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0,AACT,Ares Acquisition Corporation II,,0,,0,Shell Companies,,0.671,0,2.0191649269311065,0,,,0,0,0,15,0.0
AADI,Aadi Bioscience,8.13,45.0,453.51,1,Underpriced,Significantly,453.51,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2,AADI,Aadi Bioscience,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-42.5,0,0,AADI,Aadi Bioscience,-65693000.0,0,9.29,1,Biotechnology,0.01,0.9478119349005424,1,2.0191649269311065,1,,,0,3,5,15,33.33
AAIC,Arlington Asset Investment,4.21,5.5,30.64,1,Underpriced,Significantly,30.64,1,4.525758073809249,1,35.08,62.24668954248366,0,REIT - Mortgage,16.103125,0,3,AAIC,Arlington Asset Investment,,-7.851666666666667,0,13.162481789802287,0,REIT - Mortgage,-2.92,3.036666666666666,0,13.650812124678296,0,1.5,0,0,AAIC,Arlington Asset Investment,34902000.0,1,,0,REIT - Mortgage,2.65,5.33775,1,2.0191649269311065,0,,,0,2,5,15,33.33
AAL,American Airlines Group,16.48,17.7,7.4,1,Underpriced,Slightly,7.4,0,,0,6.29,62.24668954248366,0,Airlines,29.661666666666665,0,1,AAL,American Airlines Group,2.64,-13.34375,1,13.162481789802287,0,Airlines,3.88,11.413846153846151,0,13.650812124678296,0,-25.4,0,1,AAL,American Airlines Group,3767000000.0,1,0.72,0,Airlines,,3.4875,0,2.0191649269311065,0,,2.64%,0,1,3,15,20.0
AAMC,Altisource Asset Management,61.11,,,0,,,,0,99.1253914422546,1,,62.24668954248366,0,Asset Management,42.88767123287671,0,1,AAMC,Altisource Asset Management,,-0.9029824561403508,0,13.162481789802287,0,Asset Management,-16.23,7.635121951219513,0,13.650812124678296,0,,0,0,AAMC,Altisource Asset Management,-11068000.0,0,,0,Asset Management,,1.8213684210526315,0,2.0191649269311065,0,,,0,0,1,15,6.67
