Symbol,Company Name,EPS Growth 5Y,EPS_Industry_group_avg,PScore1,EPS_Market_avg,PScore2,Industry,Rev. Growth 5Y,Rev_Industry_group_avg,PScore3,Rev_Market_avg,PScore4,ROE,PScore5,Performance_total_score
A,Agilent Technologies,44.59,22.932,1,13.162481789802287,1,Diagnostics & Research,8.32,19.669302325581395,0,13.650812124678296,0,24.8,1,3
AA,Alcoa,,,0,13.162481789802287,0,Aluminum,-0.43,8.875,0,13.650812124678296,0,-15.8,0,0
AAC,Ares Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0
AACG,ATA Creativity Global,,15.502857142857142,0,13.162481789802287,0,Education & Training Services,107.92,8.417142857142856,1,13.650812124678296,1,-35.3,0,2
AACI,Armada Acquisition I,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0
AACT,Ares Acquisition Corporation II,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0
AADI,Aadi Bioscience,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-42.5,0,0
AAIC,Arlington Asset Investment,,-7.851666666666667,0,13.162481789802287,0,REIT - Mortgage,-2.92,3.036666666666666,0,13.650812124678296,0,1.5,0,0
AAL,American Airlines Group,2.64,-13.34375,1,13.162481789802287,0,Airlines,3.88,11.413846153846151,0,13.650812124678296,0,-25.4,0,1
AAMC,Altisource Asset Management,,-0.9029824561403508,0,13.162481789802287,0,Asset Management,-16.23,7.635121951219513,0,13.650812124678296,0,,0,0
AAME,Atlantic American,-1.47,-3.866153846153845,1,13.162481789802287,0,Insurance - Life,2.22,6.495294117647059,0,13.650812124678296,0,2.3,0,1
AAN,The Aaron's Company,,10.841333333333331,0,13.162481789802287,0,Rental & Leasing Services,,7.046666666666667,0,13.650812124678296,0,-2.0,0,0
AAOI,Applied Optoelectronics,,25.8856,0,13.162481789802287,0,Semiconductors,-8.64,8.33470588235294,0,13.650812124678296,0,-34.4,0,0
AAON,"AAON, Inc.",19.57,22.427200000000003,0,13.162481789802287,1,Building Products & Equipment,18.37,8.524827586206897,1,13.650812124678296,1,21.8,1,4
AAP,Advance Auto Parts,-0.18,16.853181818181817,0,13.162481789802287,0,Specialty Retail,3.66,9.043939393939391,0,13.650812124678296,0,15.0,0,0
AAPL,Apple,17.86,16.295,1,13.162481789802287,1,Consumer Electronics,9.25,1.6223076923076922,1,13.650812124678296,0,165.7,1,4
AAT,American Assets Trust,12.75,-0.132222222222222,1,13.162481789802287,0,REIT - Diversified,5.91,7.515000000000001,0,13.650812124678296,0,4.0,0,1
AAU,Almaden Minerals,,11.377142857142855,0,13.162481789802287,0,Gold,,6.142173913043479,0,13.650812124678296,0,-15.1,0,0
AB,AllianceBernstein Holding L.P.,0.76,-0.9029824561403508,1,13.162481789802287,0,Asset Management,2.97,7.635121951219513,0,13.650812124678296,0,14.3,0,1
ABBV,AbbVie,1.32,26.954615384615387,0,13.162481789802287,0,Drug Manufacturers - General,13.89,7.980714285714286,1,13.650812124678296,1,49.6,1,3
ABC,AmerisourceBergen,15.08,24.49166666666667,0,13.162481789802287,1,Medical Distribution,9.21,14.636666666666668,0,13.650812124678296,0,5561.2,1,2
ABCB,Ameris Bancorp,17.43,17.076541095890413,1,13.162481789802287,1,Banks - Regional,21.79,12.27737541528239,1,13.650812124678296,1,10.3,0,4
ABCL,AbCellera Biologics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-4.1,0,0
ABCM,Abcam,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-1.2,0,0
ABEO,Abeona Therapeutics,,12.32846153846154,0,13.162481789802287,0,Biotechnology,-2.01,20.71185567010309,0,13.650812124678296,0,-157.0,0,0
ABEV,Ambev,,-9.2,0,13.162481789802287,0,Beverages - Brewers,,18.9825,0,13.650812124678296,0,17.6,0,0
ABG,Asbury Automotive Group,43.68,14.869285714285716,1,13.162481789802287,1,Auto & Truck Dealerships,18.32,19.66263157894737,0,13.650812124678296,1,34.2,1,4
ABIO,ARCA biopharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-18.8,0,0
ABM,ABM Industries,17.02,12.134285714285712,1,13.162481789802287,1,Specialty Business Services,5.84,0.839230769230769,1,13.650812124678296,0,11.3,0,3
ABNB,Airbnb,,3.3125,0,13.162481789802287,0,Travel Services,,-3.507692307692308,0,13.650812124678296,0,37.5,1,1
ABOS,Acumen Pharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-23.4,0,0
ABR,Arbor Realty Trust,6.76,-7.851666666666667,1,13.162481789802287,0,REIT - Mortgage,19.71,3.036666666666666,1,13.650812124678296,1,10.6,0,3
ABSI,Absci,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-34.7,0,0
ABST,Absolute Software,,11.917352941176471,0,13.162481789802287,0,Software - Application,,20.571181818181817,0,13.650812124678296,0,,0,0
ABT,Abbott Laboratories,66.13,13.007727272727273,1,13.162481789802287,1,Medical Devices,7.85,21.801046511627906,0,13.650812124678296,0,15.8,0,2
ABUS,Arbutus Biopharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,22.72,20.71185567010309,1,13.650812124678296,1,-48.3,0,2
ABVC,ABVC BioPharma,,12.32846153846154,0,13.162481789802287,0,Biotechnology,,20.71185567010309,0,13.650812124678296,0,-244.8,0,0
AC,Associated Capital Group,,31.522727272727277,0,13.162481789802287,0,Capital Markets,-10.71,27.81722222222222,0,13.650812124678296,0,-1.7,0,0
ACA,Arcosa,,,0,13.162481789802287,0,Infrastructure Operations,,29.75,0,13.650812124678296,0,13.3,0,0
ACAB,Atlantic Coastal Acquisition Corp. II,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-36.5,0,0
ACAC,Acri Capital Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-29.0,0,0
ACAD,ACADIA Pharmaceuticals,,12.32846153846154,0,13.162481789802287,0,Biotechnology,26.84,20.71185567010309,1,13.650812124678296,1,-35.7,0,2
ACAH,Atlantic Coastal Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-55.9,0,0
ACAQ,Athena Consumer Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,,0,0
ACAX,Alset Capital Acquisition,,,0,13.162481789802287,0,Shell Companies,,,0,13.650812124678296,0,-40.8,0,0
