Symbol,Company Name,Stock Price,Price Target,PT Diff in %,Score,Valuation,Valuation1,PT Diff in % Absolute,Score1,BG_Value,Score2,PE Ratio,PE_Market_avg,Score3,Industry,PE_Industry_group_avg,Score4,Valuation_total_score
A,Agilent Technologies,121.13,148.07,22.24,1,Underpriced,Significantly,22.24,1,44.76213983293792,0,26.62,62.24668954248366,0,Diagnostics & Research,60.27,0,2
AA,Alcoa,35.62,48.11,35.06,1,Underpriced,Significantly,35.06,1,,0,,62.24668954248366,0,Aluminum,15.29,0,2
AAC,Ares Acquisition,10.5,,,0,,,,0,1.2384594708204415,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
AACG,ATA Creativity Global,1.41,,,0,,,,0,,0,,62.24668954248366,0,Education & Training Services,47.4225,0,0
AACI,Armada Acquisition I,10.2,,,0,,,,0,0.577533107333259,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
AACT,Ares Acquisition Corporation II,10.25,,,0,,,,0,,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
AADI,Aadi Bioscience,8.13,45.0,453.51,1,Underpriced,Significantly,453.51,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
AAIC,Arlington Asset Investment,4.21,5.5,30.64,1,Underpriced,Significantly,30.64,1,4.525758073809249,1,35.08,62.24668954248366,0,REIT - Mortgage,16.103125,0,3
AAL,American Airlines Group,16.48,17.7,7.4,1,Underpriced,Slightly,7.4,0,,0,6.29,62.24668954248366,0,Airlines,29.661666666666665,0,1
AAMC,Altisource Asset Management,61.11,,,0,,,,0,99.1253914422546,1,,62.24668954248366,0,Asset Management,42.88767123287671,0,1
AAME,Atlantic American,2.24,,,0,,,,0,3.749842390340432,1,17.23,62.24668954248366,0,Insurance - Life,70.66466666666666,0,1
AAN,The Aaron's Company,13.32,13.2,-0.9,0,Overpriced,Slightly,0.9,0,,0,,62.24668954248366,0,Rental & Leasing Services,18.27142857142857,0,0
AAOI,Applied Optoelectronics,4.85,7.5,54.64,1,Underpriced,Significantly,54.64,1,,0,,62.24668954248366,0,Semiconductors,328.74357142857144,0,2
AAON,"AAON, Inc.",95.8,86.5,-9.71,0,Overpriced,Slightly,9.71,0,23.58023530944899,0,43.55,62.24668954248366,0,Building Products & Equipment,25.749655172413792,0,0
AAP,Advance Auto Parts,69.22,106.18,53.39,1,Underpriced,Significantly,53.39,1,82.00749104682171,1,10.27,62.24668954248366,0,Specialty Retail,17.69741935483871,0,3
AAPL,Apple,184.92,185.21,0.16,1,Underpriced,Slightly,0.16,0,22.885004504877795,0,31.4,62.24668954248366,0,Consumer Electronics,49.6125,0,1
AAT,American Assets Trust,19.7,23.5,19.29,1,Underpriced,Slightly,19.29,0,17.08865318077986,0,24.02,62.24668954248366,0,REIT - Diversified,31.277272727272727,0,1
AAU,Almaden Minerals,0.13,,,0,,,,0,,0,,62.24668954248366,0,Gold,61.23947368421052,0,0
AB,AllianceBernstein Holding L.P.,33.46,39.6,18.35,1,Underpriced,Slightly,18.35,0,31.39070149666945,0,13.83,62.24668954248366,0,Asset Management,42.88767123287671,0,1
ABBV,AbbVie,138.64,164.94,18.97,1,Underpriced,Slightly,18.97,0,26.791072635380704,0,32.7,62.24668954248366,0,Drug Manufacturers - General,27.4225,0,1
ABC,AmerisourceBergen,183.01,186.88,2.11,1,Underpriced,Slightly,2.11,0,15.627195672162392,0,23.49,62.24668954248366,0,Medical Distribution,22.002857142857145,0,1
ABCB,Ameris Bancorp,35.32,47.17,33.55,1,Underpriced,Significantly,33.55,1,70.34523114032562,1,7.53,62.24668954248366,0,Banks - Regional,11.796324786324789,0,3
ABCL,AbCellera Biologics,7.58,26.5,249.6,1,Underpriced,Significantly,249.6,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ABCM,Abcam,22.31,21.0,-5.87,0,Overpriced,Slightly,5.87,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0
ABEO,Abeona Therapeutics,4.5,22.0,388.89,1,Underpriced,Significantly,388.89,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ABEV,Ambev,3.09,3.74,21.04,1,Underpriced,Significantly,21.04,1,1.9398644840207069,0,16.26,62.24668954248366,0,Beverages - Brewers,30.528,0,2
ABG,Asbury Automotive Group,221.79,227.0,2.35,1,Underpriced,Slightly,2.35,0,368.23211425026193,1,5.21,62.24668954248366,0,Auto & Truck Dealerships,22.174705882352946,0,2
ABIO,ARCA biopharma,2.1,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0
ABM,ABM Industries,42.35,49.5,16.88,1,Underpriced,Slightly,16.88,0,42.22449301052731,0,14.4,62.24668954248366,0,Specialty Business Services,33.583636363636366,0,1
ABNB,Airbnb,128.68,131.28,2.02,1,Underpriced,Slightly,2.02,0,23.84433652439245,0,42.75,62.24668954248366,0,Travel Services,32.362,0,1
ABOS,Acumen Pharmaceuticals,5.84,15.75,169.69,1,Underpriced,Significantly,169.69,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ABR,Arbor Realty Trust,13.87,14.75,6.34,1,Underpriced,Slightly,6.34,0,25.40591659104483,1,8.06,62.24668954248366,0,REIT - Mortgage,16.103125,0,2
ABSI,Absci,1.75,8.67,395.43,1,Underpriced,Significantly,395.43,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ABST,Absolute Software,11.36,13.0,14.44,1,Underpriced,Slightly,14.44,0,1.5834484190128642,0,,62.24668954248366,0,Software - Application,164.93469696969697,0,1
ABT,Abbott Laboratories,106.2,123.3,16.1,1,Underpriced,Slightly,16.1,0,39.8110692018745,0,32.28,62.24668954248366,0,Medical Devices,1044.0974193548386,0,1
ABUS,Arbutus Biopharma,2.49,6.0,140.96,1,Underpriced,Significantly,140.96,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ABVC,ABVC BioPharma,0.58,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0
AC,Associated Capital Group,35.68,,,0,,,,0,,0,,62.24668954248366,0,Capital Markets,21.3659375,0,0
ACA,Arcosa,71.52,78.75,10.11,1,Underpriced,Slightly,10.11,0,77.53985663429482,1,12.4,62.24668954248366,0,Infrastructure Operations,27.21,0,2
ACAB,Atlantic Coastal Acquisition Corp. II,10.39,,,0,,,,0,,0,94.45,62.24668954248366,1,Shell Companies,132.68085501858738,0,1
ACAC,Acri Capital Acquisition,10.8,,,0,,,,0,6.885091322027683,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
ACAD,ACADIA Pharmaceuticals,24.07,22.48,-6.61,0,Overpriced,Slightly,6.61,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0
ACAH,Atlantic Coastal Acquisition,10.27,,,0,,,,0,,0,39.5,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
ACAQ,Athena Consumer Acquisition,10.78,,,0,,,,0,,0,1078.0,62.24668954248366,1,Shell Companies,132.68085501858738,1,2
ACAX,Alset Capital Acquisition,10.4,,,0,,,,0,,0,260.0,62.24668954248366,1,Shell Companies,132.68085501858738,1,2
ACB,Aurora Cannabis,0.54,1.6,196.3,1,Underpriced,Significantly,196.3,1,,0,,62.24668954248366,0,Drug Manufacturers - Specialty & Generic,42.62173913043478,0,2
ACBA,Ace Global Business Acquisition,11.24,,,0,,,,0,5.415514868936134,0,,62.24668954248366,0,Shell Companies,132.68085501858738,0,0
ACCD,Accolade,13.62,15.1,10.87,1,Underpriced,Slightly,10.87,0,,0,,62.24668954248366,0,Health Information Services,95.418,0,1
ACCO,ACCO Brands,5.25,7.0,33.33,1,Underpriced,Significantly,33.33,1,,0,,62.24668954248366,0,Business Equipment & Supplies,16.6125,0,2
ACDC,ProFrac Holding,13.52,23.0,70.12,1,Underpriced,Significantly,70.12,1,6.447471613175408,0,5.52,62.24668954248366,0,Oil & Gas Equipment & Services,26.98588235294117,0,2
ACEL,Accel Entertainment,9.78,13.0,32.92,1,Underpriced,Significantly,32.92,1,5.983765341549923,0,13.04,62.24668954248366,0,Gambling,22.953636363636363,0,2
ACER,Acer Therapeutics,0.82,9.5,1058.54,1,Underpriced,Significantly,1058.54,1,6.7957481829809,1,,62.24668954248366,0,Biotechnology,22.024186046511627,0,3
ACET,Adicet Bio,4.4,23.25,428.41,1,Underpriced,Significantly,428.41,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ACGL,Arch Capital Group,71.16,77.05,8.28,1,Underpriced,Slightly,8.28,0,66.16307769289457,0,13.74,62.24668954248366,0,Insurance - Diversified,56.15923076923077,0,1
ACGN,Aceragen,1.75,,,0,,,,0,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,0
ACHC,Acadia Healthcare Company,73.15,89.83,22.8,1,Underpriced,Significantly,22.8,1,46.01443623747104,0,23.98,62.24668954248366,0,Medical Care Facilities,27.51,0,2
ACHL,Achilles Therapeutics,0.98,9.5,869.39,1,Underpriced,Significantly,869.39,1,,0,,62.24668954248366,0,Biotechnology,22.024186046511627,0,2
ACHR,Archer Aviation,3.99,7.5,87.97,1,Underpriced,Significantly,87.97,1,,0,,62.24668954248366,0,Aerospace & Defense,30.43444444444444,0,2
