Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE,Valuation,PT Diff in %,Score,Valuation1,Score1,PT Diff in % Absolute,BG_Value,Score2,Score3,PE_Market_avg,Score4,PE_Industry_group_avg
A,Agilent Technologies,35778894880,121.13,148.07,22.24%,Diagnostics & Research,26.62,4.55,2.36,6.19,295376000.0,5781000000.0,Healthcare,9.90%,5.08,1.04,24.80%,Underpriced,22.24,1,Significantly,1,22.24,44.76213983293792,0,0,62.24668954248366,0,60.269999999999996
AA,Alcoa,6354643335,35.62,48.11,35.07%,Aluminum,,-4.67,-0.29,1.35,178400992.0,4690000000.0,Materials,,0.54,2.45,-15.80%,Underpriced,35.06,1,Significantly,1,35.06,,0,0,62.24668954248366,0,15.29
AAC,Ares Acquisition,755969592,10.5,N/A,,Shell Companies,,-0.06,,,71997104.0,-81798409.0,Financials,,,0.01,,N/A,,0,,0,,1.2384594708204415,0,0,62.24668954248366,0,132.68085501858738
AACG,ATA Creativity Global,44536119,1.41,N/A,,Education & Training Services,,-0.23,,2.43,31585900.0,18318920.0,Consumer Staples,,1.48,1.14,-35.30%,N/A,,0,,0,,,0,0,62.24668954248366,0,47.4225
AACI,Armada Acquisition I,94027170,10.2,N/A,,Shell Companies,,-0.02,,,9218350.0,-6832733.0,Financials,,,,,N/A,,0,,0,,0.577533107333259,0,0,62.24668954248366,0,132.68085501858738
AACT,Ares Acquisition Corporation II,576568125,10.25,N/A,,Shell Companies,,,,,56250000.0,,Financials,,,,,N/A,,0,,0,,,0,0,62.24668954248366,0,132.68085501858738
AADI,Aadi Bioscience,198672810,8.13,45.0,453.51%,Biotechnology,,-2.6,,1.36,24437000.0,145986000.0,Healthcare,,10.58,,-42.50%,Underpriced,453.51,1,Significantly,1,453.51,,0,0,62.24668954248366,0,22.024186046511627
AAIC,Arlington Asset Investment,119397284,4.21,5.5,30.64%,REIT - Mortgage,35.08,0.12,,0.55,28360400.0,215145000.0,Real Estate,,2.17,1.47,1.50%,Underpriced,30.64,1,Significantly,1,30.64,4.525758073809249,1,0,62.24668954248366,0,16.103125
AAL,American Airlines Group,10759181844,16.48,17.7,7.40%,Airlines,6.29,2.62,0.63,,652862976.0,-5771000000.0,Industrials,,0.21,1.53,-25.40%,Underpriced,7.4,1,Slightly,0,7.4,,0,0,62.24668954248366,0,29.661666666666665
AAMC,Altisource Asset Management,107457046,61.11,N/A,,Asset Management,,-8.15,,,1758420.0,-94222000.0,Financials,,15.14,1.69,,N/A,,0,,0,,99.12539144225461,1,0,62.24668954248366,0,42.887671232876706
AAME,Atlantic American,45622528,2.24,N/A,,Insurance - Life,17.23,0.13,,0.47,20367200.0,97911000.0,Financials,-79.03%,0.24,0.32,2.30%,N/A,,0,,0,,3.749842390340432,1,0,62.24668954248366,0,70.66466666666666
AAN,The Aaron's Company,411703884,13.32,13.2,-0.90%,Rental & Leasing Services,,-0.46,1.35,0.58,30908700.0,703903000.0,Industrials,,0.18,1.01,-2.00%,Overpriced,-0.9,0,Slightly,0,0.9,,0,0,62.24668954248366,0,18.271428571428572
AAOI,Applied Optoelectronics,141599145,4.85,7.5,54.64%,Semiconductors,,-2.35,0.51,0.82,29195700.0,172637000.0,Technology,,0.63,1.3,-34.40%,Underpriced,54.64,1,Significantly,1,54.64,,0,0,62.24668954248366,0,328.74357142857144
AAON,"AAON, Inc.",5197408660,95.8,86.5,-9.71%,Building Products & Equipment,43.55,2.2,2.87,8.53,54252700.0,609414000.0,Industrials,98.20%,5.35,0.81,21.80%,Overpriced,-9.71,0,Slightly,0,9.71,23.58023530944899,0,0,62.24668954248366,0,25.749655172413792
AAP,Advance Auto Parts,4114706758,69.22,106.18,53.40%,Specialty Retail,10.27,6.74,0.91,1.56,59443900.0,2636161000.0,Consumer Discretionary,-25.19%,0.37,1.13,15.00%,Underpriced,53.39,1,Significantly,1,53.39,82.00749104682171,1,0,62.24668954248366,0,17.69741935483871
