Symbol,Company Name,Market Cap,Stock Price,Price Target,PT Diff. (%),Industry,PE Ratio,EPS,PEG Ratio,PB Ratio,Shares Out,Equity,Sector,EPS Growth,PS Ratio,Beta (1Y),ROE
A,Agilent Technologies,35778894880,121.13,148.07,22.24%,Diagnostics & Research,26.62,4.55,2.36,6.19,295376000,5781000000,Healthcare,9.90%,5.08,1.04,24.80%
AA,Alcoa,6354643335,35.62,48.11,35.07%,Aluminum,,-4.67,-0.29,1.35,178400992,4690000000,Materials,,0.54,2.45,-15.80%
AAC,Ares Acquisition,755969592,10.50,,,Shell Companies,,-0.06,,,71997104,-81798409,Financials,,,0.01,
AACG,ATA Creativity Global,44536119,1.41,,,Education & Training Services,,-0.23,,2.43,31585900,18318920,Consumer Staples,,1.48,1.14,-35.30%
AACI,Armada Acquisition I,94027170,10.20,,,Shell Companies,,-0.02,,,9218350,-6832733,Financials,,,,
AACT,Ares Acquisition Corporation II,576568125,10.25,,,Shell Companies,,,,,56250000,,Financials,,,,
AADI,Aadi Bioscience,198672810,8.13,45.00,453.51%,Biotechnology,,-2.60,,1.36,24437000,145986000,Healthcare,,10.58,,-42.50%
AAIC,Arlington Asset Investment,119397284,4.21,5.50,30.64%,REIT - Mortgage,35.08,0.12,,0.55,28360400,215145000,Real Estate,,2.17,1.47,1.50%
AAL,American Airlines Group,10759181844,16.48,17.70,7.40%,Airlines,6.29,2.62,0.63,,652862976,-5771000000,Industrials,,0.21,1.53,-25.40%
AAMC,Altisource Asset Management,107457046,61.11,,,Asset Management,,-8.15,,,1758420,-94222000,Financials,,15.14,1.69,
AAME,Atlantic American,45622528,2.24,,,Insurance - Life,17.23,0.13,,0.47,20367200,97911000,Financials,-79.03%,0.24,0.32,2.30%
AAN,The Aaron's Company,411703884,13.32,13.20,-0.90%,Rental & Leasing Services,,-0.46,1.35,0.58,30908700,703903000,Industrials,,0.18,1.01,-2.00%
AAOI,Applied Optoelectronics,141599145,4.85,7.50,54.64%,Semiconductors,,-2.35,0.51,0.82,29195700,172637000,Technology,,0.63,1.30,-34.40%
AAON,"AAON, Inc.",5197408660,95.80,86.50,-9.71%,Building Products & Equipment,43.55,2.20,2.87,8.53,54252700,609414000,Industrials,98.20%,5.35,0.81,21.80%
AAP,Advance Auto Parts,4114706758,69.22,106.18,53.40%,Specialty Retail,10.27,6.74,0.91,1.56,59443900,2636161000,Consumer Discretionary,-25.19%,0.37,1.13,15.00%
AAPL,Apple,2908551280927,184.92,185.21,0.16%,Consumer Electronics,31.40,5.89,2.75,46.79,15728700416,62158000000,Technology,-4.23%,7.55,1.29,165.70%
AAT,American Assets Trust,1514898500,19.70,23.50,19.29%,REIT - Diversified,24.02,0.82,21.85,1.24,76898401,1217129000,Real Estate,30.16%,3.53,1.12,4.00%
AAU,Almaden Minerals,17646620,0.13,,,Gold,,-0.06,,0.35,137220992,50261893,Materials,,,0.99,-15.10%
AB,AllianceBernstein Holding L.P.,3793560960,33.46,39.60,18.35%,Asset Management,13.83,2.42,11.37,1.85,113376000,2051754000,Financials,-38.58%,13.19,1.36,14.30%
ABBV,AbbVie,244601172255,138.64,164.94,18.97%,Drug Manufacturers - General,32.70,4.24,1.28,18.43,1764290048,13274000000,Healthcare,-39.17%,4.31,0.55,49.60%
ABC,AmerisourceBergen,36999679266,183.01,186.88,2.12%,Medical Distribution,23.49,7.79,1.58,131.35,202172992,281686000,Healthcare,-5.00%,0.15,0.52,5561.20%
ABCB,Ameris Bancorp,2450286289,35.32,47.17,33.55%,Banks - Regional,7.53,4.69,2.45,0.75,69373904,3253195000,Financials,-1.88%,2.50,1.09,10.30%
ABCL,AbCellera Biologics,2188558240,7.58,26.50,249.60%,Biotechnology,,-0.18,,1.81,288728000,1208500000,Healthcare,,12.09,-0.12,-4.10%
ABCM,Abcam,5125120308,22.31,21.00,-5.87%,Biotechnology,,-0.04,,5.85,229723008,875783133,Healthcare,,11.76,0.64,-1.20%
ABEO,Abeona Therapeutics,84501900,4.50,22.00,388.89%,Biotechnology,,-2.58,,4.51,18778200,18740000,Healthcare,,79.12,1.26,-157.00%
ABEV,Ambev,48659775099,3.09,3.74,21.04%,Beverages - Brewers,16.26,0.17,1.98,3.14,15747500032,15492551985,Consumer Staples,14.14%,3.23,0.65,17.60%
ABG,Asbury Automotive Group,4776048039,221.79,227.00,2.35%,Auto & Truck Dealerships,5.21,42.56,0.31,1.57,21534100,3049200000,Consumer Discretionary,32.54%,0.32,1.12,34.20%
ABIO,ARCA biopharma,30261210,2.10,,,Biotechnology,,-0.55,,0.75,14410100,40531000,Healthcare,,,1.37,-18.80%
ABM,ABM Industries,2801283100,42.35,49.50,16.88%,Specialty Business Services,14.40,2.94,4.45,1.57,66146000,1782800000,Industrials,38.03%,0.35,1.09,11.30%
ABNB,Airbnb,81101211598,128.68,131.28,2.02%,Travel Services,42.75,3.01,,15.33,630254986,5291000000,Consumer Discretionary,155.08%,9.31,1.14,37.50%
ABOS,Acumen Pharmaceuticals,239586584,5.84,15.75,169.69%,Biotechnology,,-1.11,,1.34,41025100,179085000,Healthcare,,,,-23.40%
ABR,Arbor Realty Trust,2512702959,13.87,14.75,6.34%,REIT - Mortgage,8.06,1.72,1.20,0.83,181160992,3021506000,Real Estate,-19.63%,3.82,1.91,10.60%
ABSI,Absci,161880768,1.75,8.67,395.43%,Biotechnology,,-1.09,,0.64,92503296,253965000,Healthcare,,26.12,,-34.70%
ABST,Absolute Software,603445472,11.36,13.00,14.44%,Software - Application,,-0.50,,,53120200,-11839000,Technology,,2.72,0.36,
ABT,Abbott Laboratories,184676491699,106.20,123.30,16.10%,Medical Devices,32.28,3.29,18.76,4.96,1738950016,37232000000,Healthcare,-23.67%,4.45,0.66,15.80%
ABUS,Arbutus Biopharma,413673660,2.49,6.00,140.96%,Biotechnology,,-0.46,,2.87,166134000,143915000,Healthcare,,12.49,2.25,-48.30%
ABVC,ABVC BioPharma,19262892,0.58,,,Biotechnology,,-0.38,,11.53,33080700,1670488,Healthcare,,17.96,0.40,-244.80%
AC,Associated Capital Group,780917420,35.68,,,Capital Markets,,-0.68,,0.86,21886699,906001000,Financials,,51.68,1.08,-1.70%
ACA,Arcosa,3464207088,71.52,78.75,10.11%,Infrastructure Operations,12.40,5.77,6.72,1.54,48436900,2243200000,Industrials,279.61%,1.54,0.55,13.30%
ACAB,Atlantic Coastal Acquisition Corp. II,113621923,10.39,,,Shell Companies,94.45,0.11,,,10935700,-11663428,Financials,,,,-36.50%
ACAC,Acri Capital Acquisition,62639341,10.80,,,Shell Companies,,-4.22,,,5799939,-2895662,Financials,,,,-29.00%
ACAD,ACADIA Pharmaceuticals,3914383557,24.07,22.48,-6.61%,Biotechnology,,-0.91,,10.46,162624992,374258000,Healthcare,,7.52,0.53,-35.70%
ACAH,Atlantic Coastal Acquisition,124858552,10.27,,,Shell Companies,39.50,0.26,,,12157600,-21201335,Financials,,,0.01,-55.90%
ACAQ,Athena Consumer Acquisition,120292931,10.78,,,Shell Companies,1078.00,0.01,,,11158899,-13003880,Financials,,,,
ACAX,Alset Capital Acquisition,117051990,10.40,,,Shell Companies,260.00,0.04,,,11254999,-2130363,Financials,,,,-40.80%
ACB,Aurora Cannabis,191271249,0.54,1.60,196.30%,Drug Manufacturers - Specialty & Generic,,-2.33,,0.54,354206016,352228986,Healthcare,,1.17,2.97,-148.40%
ACBA,Ace Global Business Acquisition,42329274,11.24,,,Shell Companies,,-0.92,,,3789550,-5369042,Financials,,,0.04,-24.10%
ACCD,Accolade,1002895080,13.62,15.10,10.87%,Health Information Services,,-6.45,,2.12,73634000,473786000,Healthcare,,2.76,1.69,-91.90%
ACCO,ACCO Brands,498316350,5.25,7.00,33.33%,Business Equipment & Supplies,,-0.18,0.42,0.62,94917400,809800000,Industrials,,0.26,1.83,-1.70%
ACDC,ProFrac Holding,2149639332,13.52,23.00,70.12%,Oil & Gas Equipment & Services,5.52,2.45,,17.93,158996992,119900000,Energy,,0.73,,-13.60%
ACEL,Accel Entertainment,841129917,9.78,13.00,32.92%,Gambling,13.04,0.75,,4.61,86005104,182486000,Consumer Discretionary,56.25%,0.79,1.55,37.70%
ACER,Acer Therapeutics,19921222,0.82,9.50,1058.82%,Biotechnology,,-1.91,,,24300100,-26113599,Healthcare,,,0.58,
ACET,Adicet Bio,189013440,4.40,23.25,428.41%,Biotechnology,,-2.53,,0.71,42957600,266215000,Healthcare,,,1.92,-36.00%
ACGL,Arch Capital Group,26501621249,71.16,77.05,8.28%,Insurance - Diversified,13.74,5.18,2.24,1.89,372423008,13988000000,Financials,11.16%,2.44,0.73,15.30%
ACGN,Aceragen,14741125,1.75,,,Biotechnology,,-7.18,,1.25,8423500,11826000,Healthcare,,,,-117.40%
ACHC,Acadia Healthcare Company,6732338598,73.15,89.83,22.80%,Medical Care Facilities,23.98,3.05,1.32,2.37,92034704,2839602000,Healthcare,14.66%,2.50,1.31,10.10%
ACHL,Achilles Therapeutics,40123824,0.98,9.50,869.29%,Biotechnology,,-1.82,,0.22,40938500,185171000,Healthcare,,,0.93,-34.90%
ACHR,Archer Aviation,987313522,3.99,7.50,87.97%,Aerospace & Defense,,-1.53,,2.41,247446998,410100000,Industrials,,,2.07,-71.40%
ACHV,Achieve Life Sciences,122247048,5.81,14.67,152.50%,Biotechnology,,-3.69,,275.95,21040800,443000,Healthcare,,,1.56,-762.70%
ACI,Albertsons Companies,12265376123,21.37,25.63,19.93%,Grocery Stores,9.41,2.27,1.43,7.61,573953024,1610700000,Consumer Staples,-15.93%,0.16,0.36,55.60%
ACIU,AC Immune,167240800,2.00,13.00,550.00%,Biotechnology,,-0.91,,1.00,83620400,168060440,Healthcare,,38.68,0.57,-38.80%
ACIW,ACI Worldwide,2481657020,22.91,32.50,41.86%,Software - Infrastructure,28.28,0.81,-3.24,2.13,108322000,1167627000,Technology,-34.15%,1.79,1.11,7.90%
ACLS,Axcelis Technologies,5530792788,169.08,147.20,-12.94%,Semiconductor Equipment & Materials,29.82,5.67,1.23,7.88,32711100,701821000,Technology,56.20%,5.70,1.71,29.40%
ACLX,Arcellx,1718167300,35.80,48.70,36.03%,Biotechnology,,-4.30,,5.66,47993500,303717000,Healthcare,,95.92,,-71.10%
ACM,AECOM,12047044023,86.67,98.50,13.65%,Engineering & Construction,32.71,2.65,1.40,4.64,138999008,2594340000,Industrials,82.76%,0.89,1.30,14.80%
ACMR,ACM Research,696939168,11.64,18.33,57.47%,Semiconductor Equipment & Materials,14.73,0.79,,1.01,59874499,691927000,Technology,102.56%,1.66,1.12,7.80%
ACN,Accenture,201799745505,319.54,326.79,2.27%,Information Technology Services,29.42,10.86,2.98,8.49,631532032,23762619000,Technology,9.48%,3.20,1.24,30.80%
ACNB,ACNB Corporation,277517346,32.56,33.50,2.89%,Banks - Regional,7.32,4.45,,1.08,8523260,255841000,Financials,43.55%,2.49,0.35,15.60%
ACNT,Ascent Industries Co.,95523531,9.39,20.00,112.99%,Steel,15.15,0.62,,0.74,10172900,129044000,Materials,-79.40%,0.25,0.73,5.00%
ACON,Aclarion,8282889,1.01,3.00,197.03%,Health Information Services,,-1.23,,3.72,8200880,2225958,Healthcare,,137.03,,
ACOR,Acorda Therapeutics,15709921,12.91,,,Drug Manufacturers - Specialty & Generic,,-53.80,,0.20,1216880,76960000,Healthcare,,0.13,1.37,-69.70%
ACR,ACRES Commercial Realty,71208033,8.29,13.50,62.85%,REIT - Mortgage,,-0.97,,0.16,8589630,433753000,Real Estate,,0.83,1.82,-1.90%
ACRE,Ares Commercial Real Estate,552620816,10.12,10.70,5.73%,REIT - Mortgage,72.29,0.14,2.57,0.77,54606800,718303000,Real Estate,-89.63%,5.05,1.42,0.90%
ACRO,Acropolis Infrastructure Acquisition,441168740,10.23,,,Shell Companies,93.00,0.11,,,43124999,-16048619,Financials,,,,-30.90%
ACRS,Aclaris Therapeutics,722343468,10.22,32.00,213.11%,Diagnostics & Research,,-1.44,,4.09,70679400,176810000,Healthcare,,23.43,0.53,-46.40%
ACRV,Acrivon Therapeutics,274075000,12.50,23.20,85.60%,Biotechnology,,-1.78,,1.71,21926000,160469000,Healthcare,,,,
ACRX,AcelRx Pharmaceuticals,12890674,1.18,,,Drug Manufacturers - Specialty & Generic,0.19,6.17,,0.91,10924300,14242000,Healthcare,,9.70,0.19,178.30%
ACST,Acasti Pharma,25652360,0.57,2.45,326.09%,Biotechnology,,-0.26,,0.35,44612800,73114866,Healthcare,,,1.52,-16.80%
ACT,Enact Holdings,4029829940,24.94,27.00,8.26%,Insurance - Specialty,5.69,4.38,,0.94,161580992,4296621000,Financials,21.67%,3.64,,17.20%
ACTG,Acacia Research,265825172,4.54,,,Specialty Business Services,,-1.99,,0.77,58551800,344645000,Industrials,,4.39,0.40,-20.80%
ACU,Acme United,87579284,24.70,,,Household & Personal Products,28.39,0.87,1.43,1.09,3545720,80116000,Consumer Staples,-72.29%,0.45,0.89,4.00%
